,Survived,Age,Fare,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,Parch_0,Parch_1,Parch_2,Parch_3,Parch_4,Parch_5,Parch_6,SibSp_0,SibSp_1,SibSp_2,SibSp_3,SibSp_4,SibSp_5,SibSp_8
0,0,22.0,7.25,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,38.0,71.2833,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,26.0,7.925,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3,1,35.0,53.1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
4,0,35.0,8.05,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6,0,54.0,51.8625,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,2.0,21.075,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
8,1,27.0,11.1333,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
9,1,14.0,30.0708,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
10,1,4.0,16.7,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
11,1,58.0,26.55,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
12,0,20.0,8.05,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
13,0,39.0,31.275,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
14,0,14.0,7.8542,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
15,1,55.0,16.0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
16,0,2.0,29.125,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
